epoch,train_loss,val_loss,test_loss
1,3.3573819084219685,3.390637144129327,3.5168860313740185
2,2.9546259513921758,2.995615928731066,3.0750968506995666
3,2.726989895098518,2.7172243214668113,2.7686784267425537
4,2.572651155267102,2.673272409337632,2.7164595837288714
